id,numTrees,Val_score,Train_score
1.0,1.0,0.934,0.936
2.0,11.0,0.98,0.99
3.0,21.0,0.987,0.993
4.0,31.0,0.987,0.993
5.0,41.0,0.987,0.994
6.0,51.0,0.988,0.995
7.0,61.0,0.99,0.996
8.0,71.0,0.99,0.996
9.0,81.0,0.99,0.996
10.0,91.0,0.99,0.995
11.0,101.0,0.99,0.996
12.0,111.0,0.99,0.996
13.0,121.0,0.991,0.996
14.0,131.0,0.99,0.995
15.0,141.0,0.991,0.995
16.0,151.0,0.989,0.995
17.0,161.0,0.989,0.995
18.0,171.0,0.99,0.995
19.0,181.0,0.99,0.995
20.0,191.0,0.99,0.995
21.0,201.0,0.99,0.995
22.0,211.0,0.99,0.995
23.0,221.0,0.99,0.995
24.0,231.0,0.99,0.995
25.0,241.0,0.99,0.995
26.0,251.0,0.99,0.995
27.0,261.0,0.991,0.995
28.0,271.0,0.991,0.995
29.0,281.0,0.991,0.995
30.0,291.0,0.991,0.995
31.0,301.0,0.991,0.995
32.0,311.0,0.991,0.995
33.0,321.0,0.991,0.995
34.0,331.0,0.991,0.995
35.0,341.0,0.991,0.995
36.0,351.0,0.991,0.995
37.0,361.0,0.991,0.995
38.0,371.0,0.992,0.995
39.0,381.0,0.992,0.995
40.0,391.0,0.992,0.995
41.0,401.0,0.992,0.995
42.0,411.0,0.993,0.995
43.0,421.0,0.992,0.995
44.0,431.0,0.992,0.995
45.0,441.0,0.993,0.995
46.0,451.0,0.992,0.995
47.0,461.0,0.992,0.995
48.0,471.0,0.993,0.995
49.0,481.0,0.993,0.995
50.0,491.0,0.993,0.995
