id,min_impurity_decrease,Val_score,Train_score,train_time(sec),Test_score
1.0,0.0,0.961,0.956,0.004001,0.931
2.0,0.02,0.882,0.869,0.003,0.856
3.0,0.04,0.857,0.812,0.003,0.801
4.0,0.06,0.791,0.778,0.002001,0.731
5.0,0.08,0.791,0.778,0.003,0.731
6.0,0.1,0.791,0.778,0.002001,0.731
7.0,0.12,0.791,0.778,0.003,0.731
8.0,0.14,0.791,0.778,0.003002,0.731
9.0,0.16,0.791,0.778,0.003001,0.731
10.0,0.18,0.791,0.778,0.001999,0.731
11.0,0.2,0.791,0.778,0.002,0.731
12.0,0.22,0.5,0.5,0.003001,0.5
13.0,0.24,0.5,0.5,0.003001,0.5
14.0,0.26,0.5,0.5,0.003,0.5
15.0,0.28,0.5,0.5,0.003002,0.5
