id,min_samples_leaf,Val_score,Train_score,train_time(sec),Test_score
1.0,1.0,0.927,0.932,0.003011,0.899
2.0,2.0,0.921,0.923,0.003,0.89
3.0,3.0,0.917,0.914,0.003006,0.882
4.0,4.0,0.921,0.92,0.003003,0.885
5.0,5.0,0.894,0.899,0.003,0.865
6.0,6.0,0.923,0.934,0.002004,0.889
7.0,7.0,0.923,0.934,0.003012,0.889
8.0,8.0,0.924,0.929,0.003001,0.884
9.0,9.0,0.899,0.909,0.003038,0.851
10.0,10.0,0.912,0.908,0.002867,0.87
11.0,11.0,0.912,0.908,0.002878,0.87
12.0,12.0,0.899,0.916,0.00299,0.874
13.0,13.0,0.891,0.895,0.002995,0.852
14.0,14.0,0.914,0.911,0.001864,0.878
15.0,15.0,0.9,0.896,0.002849,0.859
16.0,16.0,0.904,0.904,0.003124,0.868
17.0,17.0,0.904,0.904,0.003002,0.868
18.0,18.0,0.904,0.904,0.002009,0.869
19.0,19.0,0.904,0.911,0.003011,0.868
20.0,20.0,0.897,0.89,0.003005,0.859
21.0,21.0,0.886,0.881,0.00299,0.851
22.0,22.0,0.886,0.881,0.002991,0.851
23.0,23.0,0.886,0.881,0.003001,0.851
24.0,24.0,0.886,0.881,0.002967,0.851
25.0,25.0,0.886,0.881,0.003547,0.851
26.0,26.0,0.886,0.881,0.003,0.851
27.0,27.0,0.874,0.868,0.003001,0.845
28.0,28.0,0.874,0.868,0.001991,0.845
29.0,29.0,0.874,0.868,0.003181,0.845
30.0,30.0,0.888,0.858,0.003001,0.846
31.0,31.0,0.888,0.858,0.002014,0.846
32.0,32.0,0.888,0.858,0.003,0.846
33.0,33.0,0.888,0.858,0.002991,0.846
34.0,34.0,0.888,0.858,0.003005,0.846
35.0,35.0,0.888,0.858,0.003,0.846
36.0,36.0,0.888,0.858,0.002001,0.846
37.0,37.0,0.888,0.858,0.00301,0.846
38.0,38.0,0.888,0.858,0.002002,0.846
39.0,39.0,0.888,0.858,0.003001,0.846
