id,n_estimators,Val_score,Train_score,train_time(sec)
1.0,1.0,0.961,0.957,0.003001
2.0,2.0,0.938,0.958,0.006001
3.0,3.0,0.964,0.981,0.007001
4.0,4.0,0.966,0.981,0.010002
5.0,5.0,0.972,0.986,0.012003
6.0,6.0,0.976,0.984,0.015004
7.0,7.0,0.978,0.987,0.017004
8.0,8.0,0.981,0.987,0.019004
9.0,9.0,0.98,0.986,0.021005
10.0,10.0,0.983,0.987,0.024005
11.0,11.0,0.982,0.986,0.026006
12.0,12.0,0.987,0.99,0.029007
13.0,13.0,0.986,0.989,0.031008
14.0,14.0,0.988,0.989,0.034008
15.0,15.0,0.987,0.988,0.035008
16.0,16.0,0.988,0.988,0.038009
17.0,17.0,0.985,0.988,0.039008
18.0,18.0,0.988,0.987,0.04201
19.0,19.0,0.987,0.987,0.04401
